Resource,Proposer,From,Status,Input volunteer,Note
https://mp.weixin.qq.com/s/Il7bmVa9ZeeiC1Jf3rip7w,Myles,湖理青年,暂不收录,,已有
https://mp.weixin.qq.com/s/H8qrSXWcTIspSSWM_8j27g,Myles,单县红十字会 单县慈善总会 关于防控新型冠状病毒感染的肺炎疫情 接受社会捐赠公告,已录入,Jerry,
https://mp.weixin.qq.com/s?src=11&timestamp=1580373889&ver=2127&signature=qOZ7l8-8eyO75qSeCFtO*4nqpuOC4dx5t7P8iBKEsvrqce2knQwrNIpeWLAne0aiHgSwc56SCe0ZkUKPswyVBaEPf6rt9tpj-PljfpwNw7A14R9zQO8WZqU7zXWSnKHb&new=1,伤感列车,淮北市慈善协会关于新型冠状病毒疫情防控专向募捐的倡议书,暂不收录,Jerry,链接过期
http://www.wh-charity.com/pv.html?id=f4f4e1bc-a20f-46b9-86f6-21152d652e15&URLparamName=%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E9%98%B2%E6%8E%A7%E4%B8%93%E9%A1%B9%E5%9F%BA%E9%87%91,钱龙岑,武汉市慈善总会,已录入,Jerry,
http://beta.crcf.org.cn/article/category/woyaojuanzhu,钱龙岑,中国红十字基金会,已录入,Jerry,
http://www.scf.org.cn/,张梓浩,上海市慈善基金会,未录入,Jerry,
https://gongyi.qq.com/,张梓浩,腾讯公益基金会,暂不收录,Jerry,无腾讯官方募捐活动
https://news.sina.com.cn/c/2020-01-30/doc-iimxxste7581173.shtml,钱龙岑,海南红十字会 海南省新型冠状病毒感染肺炎疫情防控工作指挥部 关于发布接收防控疫情社会捐赠渠道信息的公告 ,暂不收录,Jerry,未找到官方链接，但找到多处新闻链接
http://www.gzcf.org/WebSite/Index.aspx,张梓浩,广州市慈善基金会,暂不收录,Jerry,未找到相关活动
https://china.huanqiu.com/article/9CaKrnKp4jU,钱龙岑,环球网发布 武汉开通应对新型冠状病毒肺炎疫情进口物资捐赠渠道,未录入,,
http://qh.people.com.cn/n2/2020/0127/c182775-33746800.html,张梓浩,人民网发布 青海省第四人民医院发布公告接受捐赠资料,暂不收录,cherry,医院求援信息，将本段资源转移到hospital文档内
https://www.thepaper.cn/newsDetail_forward_5639406,钱龙岑,澎湃新闻 湖北新型冠状病毒肺炎防控指挥部通告社会捐赠渠道,未录入,,重复信息
http://www.hbydf.org.cn/WebSite/ShowNews/430/1648,钱龙岑,湖北青少年发展基金会,未录入,,重复信息
https://www.hbcf.org.cn/pv.html?id=2c1f3ab8-9a4e-4383-90c2-8dbfa920066d,张梓浩,湖北省慈善总会新型冠状病毒感染的肺炎疫情防控专项募捐,已录入,野生莴苣,
http://www.hunancf.org/nv.html?nid=d30f8f25-f4d5-4145-9eef-b0375fa03283,张梓浩,湖南省慈善总会新型冠状病毒感染的肺炎疫情防控捐赠数据简报,未录入,,
http://www.chinacharityfederation.org/ProjectShow/29/150.html,张梓浩,中华慈善总会 抗击新冠肺炎，中华慈善总会在行动！,已录入,关昕,
http://www.gdcf.org.cn/nv.html?nid=5eb86ec3-a414-4813-b045-5c6650ddd82e&URLparamName=%E6%8A%97%E5%87%BB%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E7%88%B1%E5%BF%83%E6%8D%90%E6%AC%BE%E6%95%85%E4%BA%8B,张梓浩,广东省慈善总会 抗击新型冠状病毒肺炎疫情爱心捐款故事,已录入,cherry,
https://mp.weixin.qq.com/s/6IBiBs64UQhHTAMNSvALBA,腾讯,腾讯基金会捐赠3亿元人民币，紧急驰援肺炎疫情,未录入,,
https://mp.weixin.qq.com/s/Y-D0q7LT8CJ_iInd-rmhCA,科大讯飞,武汉，我们一直都在,未录入,,
